	$\alpha_S$	$\theta_j \ (deg)$	$\epsilon_e \ (10^{-1}) $	$\Delta\theta \ (deg)$	$p$	$\tilde{E} \ (10^{49}erg)$	$\epsilon_B\ (10^{-4})$	$E_{off} \ (10^{49}erg)$	$n \ (10^{-4}cm^{-3})$
0	2.2543113395760273	3.442300545438541	1.1681378273138954	15.867404031937319	2.166952801821681	5.019276694330888	1.8506186564878195	2.9549772751154566	0.9839328567260494
1	2.273678174277558	2.5629513378110507	0.9176960576321953	16.11764868572549	2.2850344887461853	4.991998640841709	2.06104822250801	2.9936479861298877	1.0412006886660328
2	2.291485996167445	3.4704793753827508	1.097514062626277	16.248312164212887	2.1332633997109394	5.075353130066781	1.828477456603692	3.0365222623009593	1.070185428146148
3	2.298192805427992	3.1137237360991317	1.004708991194298	15.654413558755564	2.189930363531506	4.879444628356365	2.0940910924063747	3.104276856515626	0.927352569303506
4	2.3273936541524507	3.1867315511180037	0.8533171672267064	15.527071322467643	2.2178324964529614	4.894375772096399	2.032239804827567	3.06331482980107	0.8469460760703813
5	2.267871118956344	2.7008946428103697	0.9432368448957403	15.565815983350536	2.27459625195416	5.037589682629171	1.968478715019064	2.974768650202405	0.9565342278152125
6	2.355918911258363	3.43328584091598	1.0366735909851856	16.43556453640904	2.1911317066385863	4.881464442878041	2.0698330063379373	3.00868515347025	1.0356973472762996
7	2.2763798620657036	2.580989830478394	0.8944638930475745	15.66263167840909	2.2871101055097984	5.056580045883608	1.9522889343581684	2.999850831098884	1.0301032711628602
8	2.346627585626014	2.9832385509643062	1.0138215227897336	16.341993293320378	2.4701419542634486	5.029211381995445	2.088770147573704	3.0439518628732802	1.0412272343398044
9	2.260231588418807	2.8069374065379247	1.068014833774933	16.116647531237682	2.1276320261181807	5.054731521367904	1.9687068060059199	3.00128380719651	0.8928401689808553
10	2.3329322447645393	2.6676292328110414	1.0016537444800004	15.899576056638029	2.2654844941743386	4.944892122449634	2.0936049865930775	3.04136297707303	1.0341991778935617
11	2.2658327508327893	2.701683855419411	1.0519262827483504	16.155355286506722	2.1797254414497664	5.081444546370934	1.8990218863113197	2.9696338532782685	1.0002146706672017
12	2.2362564253278583	2.723847642620271	1.1288692176340676	16.274212218080244	2.207494812389776	5.1615254050553565	1.9047519033901348	2.9216233953207436	1.003446462963334
13	2.3682997627469917	2.835949272065661	0.840817322836244	16.0991330247796	2.385604385860756	4.884701736883904	2.0790125232462815	3.123295071228587	1.1346185834065536
14	2.2962921972581234	2.9134693433931416	1.003975661653341	16.183743359915816	2.1602579246739806	5.084053724632661	2.0635219719486395	2.9901971773610123	1.1006718007553777
15	2.157687234242063	3.3268585617940207	0.9351204495880138	15.780612618189819	2.059306269627243	4.941742472529095	2.0001032590556074	3.0573729395326206	1.0773389069929353
16	2.442725374482482	2.749203350647788	1.0715662335494662	16.33562356933073	2.426594460367402	5.06719303087004	1.999742791542168	2.981983929602637	0.9409831657523415
