	$\epsilon_B\ (10^{-4})$	$\Delta\theta \ (deg)$	$\epsilon_e \ (10^{-1}) $	$n \ (10^{-4}cm^{-3})$	$\theta_j \ (deg)$	$E_{off} \ (10^{49}erg)$	$p$	$\tilde{E} \ (10^{49}erg)$	$\alpha_S$
0	1.9829127756805442	16.035962884435314	1.0598292247747196	1.0779535261703712	2.8952022560848554	2.7536435757119477	2.161398761975701	4.956059403242692	2.3045440728057542
1	2.0782396924867093	16.340168392162415	0.9188211398624804	1.030046946409588	3.390097148770077	2.874348769389663	2.2424127703487087	4.990994898487708	2.042116070027767
2	1.9831591049604222	15.507078425024925	0.971622330969115	1.0121272623492445	3.011463611485222	3.1596626166231503	2.193404018318506	5.126127406744392	2.4713322068648678
3	1.9433720137201433	15.511952791152316	0.8918677596569249	0.8321522944193134	2.8229729410780275	2.8981947875676015	2.313346505972137	4.889002098517618	2.190737678437519
4	1.976428415885972	16.438627437341616	1.2129784399336976	1.092879962673628	3.185560850633118	3.1376041167805973	2.1889670620828734	5.03762766576143	2.3724913366969984
5	2.060937631051943	15.56155909169972	1.054137702760948	1.057843965144677	2.731486869770162	2.927064512355932	2.2143196453772234	4.899992269223954	2.187553821583203
6	1.9975025365543473	16.166916737189375	0.9246462624664912	1.0790593302337452	2.677479214481705	3.025112424244042	2.256415923473207	4.985796619348807	2.371196118562228
7	1.9557235501629546	15.699812220555552	1.0289099979758238	0.9616598698073999	3.4476349657949736	2.9960772352856084	2.252001418324307	5.114379966937666	2.254366382709345
8	2.0642775772881117	16.04985398619909	1.0221799201143462	1.0589144855015995	3.1524682260188595	3.008531328681114	2.14900007551579	4.849916196658149	2.288233891839247
9	1.991908532029101	15.886930044364188	1.0596012595882254	1.0557643731544066	3.448532922221691	2.9641100598461696	2.232628250014898	4.851127414851461	2.216720861314028
10	2.0749929651854844	15.6133857515421	1.175421703101324	1.1102225170996831	3.4766498515953757	3.0735406473810913	2.218313020446735	4.814303107768532	2.283654284455304
11	1.8648560826296483	16.275972475209237	0.8589424598518186	0.908253873800848	2.5371255282460408	2.9783121916528206	2.103010985348249	5.163974875977217	2.269636032554337
12	2.2157767414157767	15.655020404563652	0.8547591893770617	1.129218147408442	3.4455088352849934	2.89356330574082	2.117318795548747	5.062298822579823	2.3048470829231005
13	2.2415305155129808	15.648624498664653	0.8603584940990042	1.1261042573854647	3.4168564008738453	2.8830579286167675	2.132909019708732	5.024672826720473	2.387002674034949
14	1.7627927986873535	15.99612970041276	1.115227563963568	0.9346284144350882	2.6066668129889665	3.1064342595711523	2.2251151355884726	4.983470536517277	2.2244978805511537
15	2.1695238614443495	15.96112999772739	1.1197988333243716	1.0575669355165405	3.352970835368027	2.895147416698988	2.1774383532592125	5.112595141923559	2.27717841113996
16	2.0867215064273243	16.193839330825153	1.0783031433697077	1.1067902393786633	3.296498162632285	2.79209247881921	2.2578910559350334	5.25498604263836	2.1852063805859765
17	2.0113671060476332	16.067634996495762	1.0048977241448354	0.942232750824124	2.8239005929468606	3.1361171871268567	2.1753996984665065	5.04139828018159	2.2638276684614977
18	1.9847478981103739	15.85906482978804	1.0318527638163106	1.0239054696090375	3.199846538061176	2.7968754474198754	2.2281068659599654	4.956704940849189	2.3260659516794053
19	1.964106988946871	16.21981052164464	1.0395924818866533	1.1201955162491197	2.6346335562179797	2.882889324143289	2.2488244639033015	5.07371086785401	2.34782177510814
20	2.0434216895125514	15.678226158859072	1.069545696463363	1.0208508126224796	3.374251220596565	2.8806144716178985	2.1685417318829128	4.980684285041293	2.3828292001684823
21	2.0188181900502977	15.855230490069376	1.05076543285152	1.0269168738316574	3.2314535526320682	2.870808177488605	2.1736694707770132	5.049285201747366	2.4441588693407814
22	1.8539041594829788	15.769653182233057	1.009398946131665	0.87130431469506	2.8568405274332545	2.86601381677521	2.0575325961348	4.971002185978558	2.3802624838099256
23	1.9422744726729249	15.977005449979522	1.0413341347448908	0.8546933566396321	3.3504336172577	2.991322730788517	2.124039188520445	5.091489563308017	2.3391221789818983
24	2.026005834565964	15.8428868552669	1.2111853882060382	0.9941463659481776	2.9642459147695734	3.0667102473773693	2.0798665988547165	4.943728284913462	2.3295470847769066
25	2.0572860654464105	16.03729700943658	1.0352537293900397	0.9469300097022982	2.5531642219114867	3.058708957497851	2.1157467329575264	4.985189336259852	2.322101276546185
26	1.8314084974226141	15.79320785831397	1.2380584452699381	1.0386911346767689	3.4520028221837578	3.034596363135365	2.2782177199664866	4.885821709607233	2.2315806479379185
27	2.008220982516133	16.148180725314262	1.051146667058743	0.9328889482285144	3.428444937813917	3.016376267207847	2.0980607019790756	4.924826490463829	2.2991266494642093
28	1.9686350250818272	15.736231349478945	0.9309250210297647	1.1319979072630748	2.8173557179675788	3.0102403850411403	2.167854706430347	5.025476202216019	2.276389856214704
29	1.9668265525618653	15.66657532203627	1.0123110077017035	1.091016345218471	2.9990432029952494	2.948815069278744	2.185959261244082	5.013091377136678	2.3584532341826256
30	2.0989887849617443	16.244523884992315	0.8837106796700126	1.0010252375822322	3.02043547233602	3.0138202429740857	2.211530268690594	4.9835131885993205	2.227368263785306
31	2.090911075505207	16.210485401204465	0.9944151407651788	0.762082361478596	2.8742553221996703	3.026805789436296	2.248765016567221	4.877400042768405	2.2584229449624944
32	2.1421232029145467	16.24228016644396	0.9382047999051177	1.0577154033016478	3.103432223173425	3.0511435642629268	2.351091642718618	5.113477572289983	2.3857577821275178
33	1.9598923488790239	15.855512163044951	1.0169185006027053	1.0196525724873076	3.246730662090774	3.156788694552632	2.2258090392299086	4.991827183459526	2.265118942555563
34	2.0532380290900965	15.599622194201958	1.0115263223348	1.1985630268260143	2.750652063875175	3.0722464457170418	2.2399686554665657	5.1397234575019715	2.1472170360015794
35	1.9473306200061093	15.958703637978557	0.9827498885446452	1.0914894939275868	2.7056477936505665	2.970640058056008	2.1665483270455668	5.01037176102432	2.2969085553907824
36	1.7817111272861783	16.201176544163847	1.0031573753847465	1.0419885563786515	2.8309305616493243	3.070846014933491	2.1713808423603966	4.9500971014353174	2.2573308732465023
37	2.1520145993552444	15.611349696780344	1.0544935632152088	1.1014346827005062	3.4911741880445932	2.993280084189694	2.1702210032362204	5.099639890934685	2.3876989729446083
38	1.7952136070363292	16.121497982695416	0.942413450434818	1.0300598179526812	2.708267164123583	3.0147318143760313	2.164317667775117	5.005853014794276	2.312134681027883
39	1.885984925453853	15.707525859435448	0.9744528023382083	1.1743664051088851	2.7990793470648914	3.038819144989569	2.113842856752228	4.869640791715964	2.1418390012859354
40	1.9965738362286718	15.734681414949879	0.9700587441477659	1.0741720519309703	2.7200884913521324	2.8783957760962116	2.247288344718582	4.807097680997488	2.25043960039657
41	1.957479298290611	16.16560905564058	1.0190410704395965	0.8616801732685474	3.4132233165509556	3.0180120531215486	2.1949507989101456	5.173819179888451	2.336945559471805
42	1.9505445203045368	15.982323661400704	1.0557516446168262	0.8075200823889948	2.7465750482651456	3.0723687451076183	2.1119765705963958	5.138916116582303	2.4699671155957543
43	1.9967435737508068	16.132721044343974	1.1513257841965245	0.7948551451854644	3.1206982651631248	3.0886983869438445	2.1119082841235097	5.150337452734208	2.434883369092197
44	1.9844529477105035	15.724894325319719	1.115428312831264	1.050305202494959	2.9255098407847155	2.895669531726895	2.0547122042390806	4.926435273372532	2.3310308411725336
45	1.9369884138822462	16.231408346415208	0.9750377050429934	1.0134690942470064	2.825169864927752	2.9709015999733484	2.0976229748727437	5.032288231259313	2.2334970525471087
46	1.9182872030525169	16.353629449505807	1.0217592273842406	1.008658975226473	2.7484853102090816	2.920176019430009	2.088438509544198	4.997994018858392	2.1874051652275806
47	2.1051012140494008	15.547595938968419	0.9985655633498813	0.8986878138675032	2.9513371254691174	2.911019237324425	2.154838423253279	5.177106647021474	2.3540548474837144
48	2.1674363083249815	15.511851864600398	1.0385054456847405	0.9411391554218126	2.730820343191383	2.9359438484949947	2.1982802274340743	4.974504246353709	2.2944206139157655
49	2.0865803273945516	15.561892622006617	1.0232677183302799	0.9358217869935053	2.9815641004680637	2.88507487298254	2.1272425083554274	4.913039578439141	2.40223682304075
50	1.953865067977251	15.52376252316718	1.0392931527266118	0.8898097056525209	3.030777217952653	3.0432518523122534	2.232079270881122	4.958332774789107	2.314579314358951
51	1.922871059298644	15.53329787076373	1.03188929420862	0.8835687698006167	2.9441751577840267	3.033126667254174	2.243784002202134	4.923383009286321	2.278062938331374
52	2.0751658720356616	16.404213478979827	0.902142495406849	1.0668724732971706	3.0913544929665218	2.878944027373542	2.229503040112231	5.028349727095381	2.337516183327212
53	2.2138059564148884	15.546312323275664	0.9941558663392823	1.0510556751995468	3.030994156115482	3.2137908184200756	2.1703888516847285	4.978262586973233	2.3414563831174546
54	1.7842003374667652	15.576682340391487	0.9333481814340671	0.9934539660206652	3.062375970918697	2.9168153262829	2.197857617811456	4.96482400036963	2.331121994119514
55	1.9807750708122278	16.282942421533306	1.002486741247313	1.0789660695867689	3.1100173027358418	3.219937307474332	2.076271592656336	4.993456656774811	2.2577454679544426
56	2.0198558494553636	15.68051969968953	0.9040840407626658	0.8418341486806329	3.040842018372452	3.0537079341192435	2.2415554247796727	5.051659620184799	2.1880466247288175
57	1.8373777047086193	16.26733956999752	0.9975758215777178	1.0854775171698536	2.586284202640314	3.05979192943035	2.1829500300667197	5.017313924676466	2.4419348657645785
58	1.9371393313866483	15.601158168025167	1.3128091330016056	0.9253130685312179	2.9761446637291757	2.9945962168619897	2.344509283942025	5.0220107656000605	2.312274780535343
59	2.031002204181074	15.971779330181953	1.0164018843362705	0.9116081433889237	2.5362803369908407	2.9843539594735233	2.2168140166405417	5.189226069247032	2.543681818750842
60	2.1203759094961923	16.322263577314544	1.0638364367919715	0.9867124455081493	2.9279330187402373	3.0166908684545906	2.2275217350583945	5.007202501436436	2.1780106002080335
61	2.1001055589189837	16.20698145218478	1.038681179011414	1.0365340838769181	2.867847729037378	3.0388131672784597	2.2624917934572033	5.023805929403733	2.175986831914126
62	2.115822194128314	16.37689730202041	0.8932548128068883	1.041827117730876	3.1121963634779872	2.8603029456845004	2.19766602888478	5.135542398804636	2.264422438462321
63	2.0176622286072208	15.58739698583291	0.9771404390732774	0.9075911205815939	2.6013199524488866	3.1579889620797674	2.3568060953068835	4.84925511237391	2.35972042810019
64	2.0050310252663803	15.615574526015456	1.0053373798725593	0.8700790635081601	2.6764860790818545	3.0852586795433883	2.353145376648302	4.876890358998318	2.3178925575915623
65	1.996021693968521	16.33314792035224	1.069406910207548	1.121475643876329	3.317053689171308	2.936128188310812	2.2214238372141035	5.127814567892343	2.293711627553189
66	2.1189969792470555	15.525061981776096	0.9612956099086782	1.0291295580453825	3.12832788765011	2.8480497278799155	2.2960116306550242	5.066812373973154	2.2288766368596864
67	1.8809366548874848	15.823158484044205	1.0658606178949546	1.009040937792015	2.743241395001637	3.1550542229479404	2.270331610883475	4.92146473931266	2.3625131633158163
68	2.109394343573062	15.65221408709628	0.9639388179156644	0.8717533491295466	3.2592768737059163	3.058899844312605	2.2347940628224294	4.998708942740192	2.2825043191402097
